posicao,score,compatibilidade,nivel,titulo,empresa,localizacao,fonte,link,matches
127,0,MINIMA,nao_informado,Help Desk Technician (2026 - 2027 School Year),Tupelo Public School District,"Midland, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/help-desk-technician-2026-2027-school-year-at-tupelo-public-school-district-4403600854?position=45&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=4zj%2Bp9V%2FnykAeHxyiBRPaQ%3D%3D,
128,0,MINIMA,nao_informado,IT Support Agent,WheelHouse IT,"Orlando, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-support-agent-at-wheelhouse-it-4395850887?position=46&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Nl9HO1p9Soo1%2BGor3WxRKA%3D%3D,
129,0,MINIMA,nao_informado,Help Desk Technician,New Caney Independent School District,"Porter, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/help-desk-technician-at-new-caney-independent-school-district-4425971524?position=47&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=j%2BR7%2B46T%2FHwBkRiXlWw13Q%3D%3D,
130,0,MINIMA,nao_informado,IT Support Technician,PCS Wireless,"Miami Lakes, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-support-technician-at-pcs-wireless-4423991521?position=50&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=q%2BVk3tJIpZWklhRy%2FNyyyQ%3D%3D,
131,0,MINIMA,nao_informado,Cyber + IT Intern I - US,Rackspace Technology,"San António, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/cyber-%2B-it-intern-i-us-at-rackspace-technology-4414295664?position=54&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=R2UdLrvhMIVZOosDVdsQdQ%3D%3D,
132,0,MINIMA,nao_informado,Computer Technician Intern (paid internship),NETSYNC,"Houston, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/computer-technician-intern-paid-internship-at-netsync-4413366821?position=56&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=Sjh8XRCP7Ujqo40WfLougg%3D%3D,
133,0,MINIMA,nao_informado,IT Support Intern- Fall 2026,Grow Financial Federal Credit Union,Tampa e Região,LinkedIn,https://www.linkedin.com/jobs/view/it-support-intern-fall-2026-at-grow-financial-federal-credit-union-4410307606?position=57&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=HXSAxsBZdJRRWDG7Lz15Gg%3D%3D,
134,0,MINIMA,nao_informado,IT Intern,SOCOTEC US,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-intern-at-socotec-us-4422627076?position=58&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=KOx%2FuyCWM5EwKzJTBVGz7g%3D%3D,
135,0,MINIMA,nao_informado,IT Intern,Borusan Pipe US,"Baytown, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-intern-at-borusan-pipe-us-4413944095?position=59&pageNum=0&refId=NBZYYso6Hnh70a8%2BbOZRVg%3D%3D&trackingId=XJn1%2BqypshqkThdYrcAqcg%3D%3D,
136,0,MINIMA,nao_informado,US-Genius,Apple,"Denver, Colorado, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414157722?position=1&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=WL1AazLDnQUz9yrsTnvbOA%3D%3D,
137,0,MINIMA,nao_informado,Digital Support Specialist,Nymbus,"Jacksonville, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/digital-support-specialist-at-nymbus-4426521673?position=3&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=qGQZ8pH%2BhuP8ssrkH1rDUQ%3D%3D,
138,0,MINIMA,nao_informado,Technical Support Analyst,Internova Travel Group,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-internova-travel-group-4418060624?position=4&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=p0L3CbkiC9tVITJi60Nvig%3D%3D,
139,0,MINIMA,nao_informado,Desktop Support Tech I,Netpace Inc,"Overland Park, Kansas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/desktop-support-tech-i-at-netpace-inc-4298165196?position=5&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=5PHnvck0P6Egd1UkCNNseg%3D%3D,
140,0,MINIMA,nao_informado,US-Genius,Apple,"McLean, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414170115?position=6&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=f8ER0XL2IJ2Prpvve%2FVw8A%3D%3D,
141,0,MINIMA,nao_informado,Tech Support Specialist,Advocate,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/tech-support-specialist-at-advocate-4337211824?position=7&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=aSuQ2d3Qg1tjrR76Ap%2Bl6w%3D%3D,
142,0,MINIMA,nao_informado,US-Genius,Apple,"Reston, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414155768?position=8&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=z0szAGUWfR0xLITBOJ7imA%3D%3D,
143,0,MINIMA,nao_informado,US-Genius,Apple,"Nashville, Tenessi, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414166447?position=9&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=arV%2FQySS15DT59XVTQkvew%3D%3D,
144,0,MINIMA,nao_informado,Technical Support Specialist,REGAL,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-regal-4419460325?position=10&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=GbJhsNK2D3m6krZaOILg2Q%3D%3D,
145,0,MINIMA,nao_informado,Technical Support Analyst,Internova Travel Group,"Beverly Hills, Califórnia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-internova-travel-group-4397409246?position=11&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=HgaqeGxnkmc61DWczGG6Sg%3D%3D,
146,0,MINIMA,nao_informado,Tech Support Specialist,Advocate,"San Francisco, Califórnia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/tech-support-specialist-at-advocate-4337072259?position=12&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=PIJ7aYnsejqZA7WVd8cQzQ%3D%3D,
147,0,MINIMA,nao_informado,Service Desk Technician,Dynamix,"Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/service-desk-technician-at-dynamix-4340286296?position=14&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=5vqTeBm1zHgW0k0qgDVEUA%3D%3D,
148,0,MINIMA,nao_informado,Technical Support Specialist,Tesla,"Henderson, Nevada, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-tesla-4420219602?position=17&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=UP%2B4lFWl7RM5kxh2Sksxog%3D%3D,
149,0,MINIMA,nao_informado,Technical Support Analyst,CloudShare,"Denver, Colorado, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-cloudshare-4422952071?position=18&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=6Q7IaCoCJd7XJB7q4glzzw%3D%3D,
150,0,MINIMA,nao_informado,Technical Support Analyst,Quilt Software,"Charlotte, Carolina do Norte, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-quilt-software-4414622195?position=19&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=HzUzkQj%2Flm%2FclvqILkH2CQ%3D%3D,
151,0,MINIMA,nao_informado,US-Genius,Apple,"Richmond, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414150960?position=21&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=kvmQX4w6klWiFfYKtg31tw%3D%3D,
152,0,MINIMA,nao_informado,"Support Specialist, Contract",Handshake,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/support-specialist-contract-at-handshake-4371647997?position=22&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=rKQF5RNV%2B8SPt5g1HRNGJQ%3D%3D,
153,0,MINIMA,nao_informado,US-Genius,Apple,"Woodbridge, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414150948?position=23&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=nZdMDCxxCWqGse9clr6Qfw%3D%3D,
154,0,MINIMA,nao_informado,Help Desk Support Services Specialist,MANTECH,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/help-desk-support-services-specialist-at-mantech-4406414504?position=24&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=VfvH66PV5yJ4Cek0BuvpOg%3D%3D,
155,0,MINIMA,nao_informado,Technical Support Specialist,TheraDriver,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-theradriver-4404300747?position=25&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=keCRjMfgWo9l3WeUQqprOA%3D%3D,
156,0,MINIMA,nao_informado,CORE Support Specialist I,Switch,Las Vegas e Região,LinkedIn,https://www.linkedin.com/jobs/view/core-support-specialist-i-at-switch-4403241363?position=27&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=D8HvBxkFrPrVa8QSn4g8TA%3D%3D,
157,0,MINIMA,nao_informado,Product Support Specialist,"Relocity, Inc.",Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/product-support-specialist-at-relocity-inc-4426365915?position=29&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=he1ScIJBDmEEinTVdwcLGA%3D%3D,
158,0,MINIMA,nao_informado,US-Genius,Apple,"Fairfax, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4415979927?position=30&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=OVARHA7PYOh3NOrwP2IwNQ%3D%3D,
159,0,MINIMA,senior,Senior IT Support Administrator,WB Engineers+Consultants,"Nova York, Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/senior-it-support-administrator-at-wb-engineers%2Bconsultants-4408870798?position=32&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=NOfL7w7AhA6n84d4KYJMJA%3D%3D,
160,0,MINIMA,nao_informado,Technical Support Specialist,The Bexar Company,"Dallas, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-the-bexar-company-4425640291?position=33&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=pGlATn3grvBhXnr%2FE4PnnQ%3D%3D,
161,0,MINIMA,nao_informado,Technical Support Specialist,Insight Global,"Washington, Distrito de Colúmbia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-insight-global-4424465859?position=34&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=%2BA0JM20Jtg35iTZ2NVSszQ%3D%3D,
162,0,MINIMA,nao_informado,Technical Support Analyst I,City of Delray Beach,"Delray Beach, Flórida, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-i-at-city-of-delray-beach-4421168645?position=35&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hV7cbqFCsj17VZV9cNaRrw%3D%3D,
163,0,MINIMA,nao_informado,Technical Support Specialist,Odoo,São Francisco e Região,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-odoo-4425550373?position=36&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=SU4N18iSZ71%2FsRozHCvyzw%3D%3D,
164,0,MINIMA,nao_informado,Deskside Technician I,Stefanini North America and APAC,"Charlotte, Carolina do Norte, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/deskside-technician-i-at-stefanini-north-america-and-apac-4421253587?position=37&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=pPJ31%2FhyR%2F01gChDYTVDag%3D%3D,
165,0,MINIMA,nao_informado,US-Genius,Apple,"Franklin, Tenessi, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/us-genius-at-apple-4414169255?position=38&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=dILK2MH1qQqzakSwpzkE%2Bg%3D%3D,
166,0,MINIMA,nao_informado,Technical Help Desk Specialist,TECEZE,"Saint Louis, Missouri, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-help-desk-specialist-at-teceze-4423947801?position=39&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=eZIVhfLKQLTEJ%2FpqMGEcbw%3D%3D,
167,0,MINIMA,nao_informado,Technical Support Specialist,MindSpring Partners LLC,Nova Iorque e Região,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-mindspring-partners-llc-4424579247?position=40&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hdMIBhpgjc%2FJl%2BYZ3Kodkg%3D%3D,
168,0,MINIMA,nao_informado,Product Support Specialist,Freed,"San Francisco, Califórnia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/product-support-specialist-at-freed-4401590832?position=41&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=y72rVW7TArCQ05i9Zk6VNw%3D%3D,
169,0,MINIMA,nao_informado,Technical Support Analyst,IRIUM,"Wichita Falls, Texas, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-irium-4253205026?position=43&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=AHQtk%2FXNLAY3I%2FL0v%2Bs%2BKg%3D%3D,
170,0,MINIMA,nao_informado,Technical Support Specialist,Absorb Software,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-absorb-software-4413331836?position=44&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=IfMsv2%2FuzdcpNI3iI2HC6g%3D%3D,
171,0,MINIMA,nao_informado,IT Field Support Specialist,Synergy ECP,"Annapolis Junction, Maryland, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/it-field-support-specialist-at-synergy-ecp-4250718611?position=45&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=hAh8I3I3oncABHkzDQANlA%3D%3D,
172,0,MINIMA,nao_informado,Support Agent I,Renaissance Learning,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/support-agent-i-at-renaissance-learning-4418024914?position=46&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=b7dwKOmYRxNmKrCWNlR90A%3D%3D,
173,0,MINIMA,nao_informado,Technical Support Specialist,Shields Group Search,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-shields-group-search-4415096414?position=47&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=AXzIPqnOGwLoV8GIpKiTXA%3D%3D,
174,0,MINIMA,nao_informado,Technical Support Analyst,GlobalPoint,"Blackstone, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-analyst-at-globalpoint-4384856095?position=48&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=wAjwSVXDhUkxx0ry3GoN%2FQ%3D%3D,
175,0,MINIMA,nao_informado,Support Specialist,Robert Half,"Forsyth, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/support-specialist-at-robert-half-4426325267?position=49&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=%2Ff3nXELuvymd50YZohuCvQ%3D%3D,
176,0,MINIMA,nao_informado,Technical Support Tech,INSPYR Solutions,"Manassas, Virgínia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-tech-at-inspyr-solutions-4414594854?position=50&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=kp1U0queSsP%2B7wfghmiX5g%3D%3D,
177,0,MINIMA,nao_informado,Remote Tech Support Specialist,Talentoma,"Nova York, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/remote-tech-support-specialist-at-talentoma-4424685347?position=52&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=UrkWetRXYlvDQiBHVuP4iA%3D%3D,
178,0,MINIMA,nao_informado,Technical Support Specialist,HealthMark Group,Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-healthmark-group-4412788058?position=53&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=yR5aidglORZgp8jBvShNIA%3D%3D,
179,0,MINIMA,nao_informado,Technical Support Associate Analyst,"Pyramid Consulting, Inc",Estados Unidos,LinkedIn,https://www.linkedin.com/jobs/view/technical-support-associate-analyst-at-pyramid-consulting-inc-4421835986?position=55&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=lWHYq7fali2liGIq3CdMtQ%3D%3D,
180,0,MINIMA,nao_informado,Tech Support Specialist II,Modern Family Law,"Colorado, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/tech-support-specialist-ii-at-modern-family-law-4420473752?position=57&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=YeCDC5N21hpXxhWoMLalJw%3D%3D,
181,0,MINIMA,nao_informado,Technical Support Specialist,Wahsega,"Alpharetta, Geórgia, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-wahsega-4421959848?position=58&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=e84j%2BZl6lEwcRlTEwvPQcg%3D%3D,
182,0,MINIMA,nao_informado,Technical Support Specialist,"Solutionreach, Inc.","Utah, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-solutionreach-inc-4423403012?position=59&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=wqxvSB2ZBeC9ZEasz0AQ%2Fw%3D%3D,
183,0,MINIMA,nao_informado,Technical Support Specialist,The Intersect Group,"Tempe, Arizona, Estados Unidos",LinkedIn,https://www.linkedin.com/jobs/view/technical-support-specialist-at-the-intersect-group-4419099155?position=60&pageNum=0&refId=s8q%2BYKbe3dCSE7DhiO9Bzg%3D%3D&trackingId=gPcRFtb7yOuW4akonGW%2FYA%3D%3D,
